player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Thomas Delaney,MF,Denmark,31-095,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Thomas Meunier,DF,Belgium,31-086,1991,2.3,6,6,3,3,0,4,5,80.0,1,1,0,1,2,8,5,0
Thomas Müller,FW,Germany,33-085,1989,2.2,2,2,0,1,1,1,2,50.0,1,4,0,4,1,3,0,0
Thomas Partey,MF,Ghana,29-177,1993,3.0,9,5,8,1,0,4,4,100.0,0,8,2,6,0,9,8,0
Thorgan Hazard,FW,Belgium,29-253,1993,1.2,3,2,2,0,1,0,2,0.0,2,4,0,4,0,3,0,0
Tim Ream,DF,United States,35-063,1987,4.0,4,3,1,3,0,3,3,100.0,0,2,1,1,4,8,12,0
Timothy Castagne,DF,Belgium,27-002,1995,3.0,7,4,6,1,0,4,6,66.7,2,1,0,1,2,9,4,0
Timothy Weah,FW,United States,22-288,2000,3.5,0,0,0,0,0,0,1,0.0,1,5,0,5,0,0,0,0
Toby Alderweireld,DF,Belgium,33-280,1989,3.0,4,2,4,0,0,2,5,40.0,3,3,1,2,0,4,19,0
Trent Alexander-Arnold,DF,England,24-061,1998,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Tyler Adams,MF,United States,23-296,1999,4.0,11,9,7,4,0,3,7,42.9,4,6,0,6,4,15,6,0
Unai Simón,GK,Spain,25-179,1997,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,3
Uriel Antuna,FW,Mexico,25-108,1997,0.9,4,3,1,2,1,2,2,100.0,0,1,0,1,0,4,0,0
Vanja Milinković-Savić,GK,Serbia,25-290,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Victor Nelsson,DF,Denmark,24-054,1998,1.0,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,1,0
Vincent Aboubakar,FW,Cameroon,30-319,1992,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Vincent Janssen,FW,Netherlands,28-175,1994,1.0,2,0,0,1,1,0,1,0.0,1,2,0,2,0,2,1,0
Vinicius Júnior,FW,Brazil,22-148,2000,2.6,3,1,1,1,1,0,2,0.0,2,4,1,3,0,3,0,0
Virgil van Dijk,DF,Netherlands,31-152,1991,4.0,2,1,0,2,0,1,2,50.0,1,7,6,1,3,5,17,0
Vitinha,MF,Portugal,22-297,2000,1.1,3,2,1,1,1,2,3,66.7,1,0,0,0,1,4,1,0
Wahbi Khazri,FW,Tunisia,31-302,1991,0.9,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
